"Participant.ID","class_number","Foundational","PopEco","Quant","group_5","group_3","group_4","metric","time","score","time_numeric","student_id"
"683fd65d",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Computing","pre",1,0,"683fd65d"
"683fd65d",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Computing","post",2.83333333333333,1,"683fd65d"
"69375565",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Anxiety","pre",2.5,0,"69375565"
"69375565",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Anxiety","post",3.5,1,"69375565"
"69375565",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Math Skills","pre",2.125,0,"69375565"
"69375565",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Math Skills","post",3,1,"69375565"
"69375565",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Computing","pre",1,0,"69375565"
"69375565",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Computing","post",2.16666666666667,1,"69375565"
"6c882239",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Anxiety","pre",2.5,0,"6c882239"
"6c882239",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Anxiety","post",4,1,"6c882239"
"6c882239",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Math Skills","pre",4.25,0,"6c882239"
"6c882239",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Math Skills","post",4.25,1,"6c882239"
"6c882239",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Computing","pre",1,0,"6c882239"
"6c882239",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Computing","post",4.5,1,"6c882239"
"754765b8",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Anxiety","pre",4,0,"754765b8"
"754765b8",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Anxiety","post",4,1,"754765b8"
"754765b8",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Math Skills","pre",2,0,"754765b8"
"754765b8",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Math Skills","post",3,1,"754765b8"
"754765b8",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Computing","pre",2,0,"754765b8"
"754765b8",1,"Foundation","PopEco","Quant","Foundational, Quant, and Pop Eco","Foundational and an advanced course","Foundational before advanced","Computing","post",3.66666666666667,1,"754765b8"
"83352107",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Anxiety","pre",2.5,0,"83352107"
"83352107",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Anxiety","post",3.5,1,"83352107"
"83352107",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Math Skills","pre",2.125,0,"83352107"
"83352107",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Math Skills","post",3.625,1,"83352107"
"83352107",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Computing","pre",1.08333333333333,0,"83352107"
"83352107",1,"Foundation","No PopEco","No Quant","Foundational only","Foundational only","Foundational only","Computing","post",3.83333333333333,1,"83352107"
"8447d712",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Anxiety","pre",2,0,"8447d712"
"8447d712",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Anxiety","post",3.5,1,"8447d712"
"8447d712",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Computing","pre",1,0,"8447d712"
"8447d712",1,"No Foundation","No PopEco","Quant",NA,"Quant and/or Pop Eco only","Advanced only","Computing","post",3,1,"8447d712"
"84b2cd17",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Anxiety","pre",3.5,0,"84b2cd17"
"84b2cd17",1,"No Foundation","PopEco","Quant","Quant and Pop Eco","Quant and/or Pop Eco only","Advanced only","Anxiety","post",3,1,"84b2cd17"
